,Name,Sample,Transformation,Description,# in Data76.m,,,,,,,
,OUT ----------- real output and income,,,,,,,,,,,
1,IPS11,1976:2 - 2005:6,5,"INDUSTRIAL PRODUCTION INDEX - PRODUCTS, TOTAL",79,,,,,,,
2,IPS299,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - FINAL PRODUCTS,84,,,,,,,
3,IPS12,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - CONSUMER GOODS,80,,,,,,,
4,IPS13,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - DURABLE CONSUMER GOODS,81,,,,,,,
5,IPS18,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - NONDURABLE CONSUMER GOODS,82,,,,,,,
6,IPS25,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - BUSINESS EQUIPMENT,83,,,,,,,
7,IPS32,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - MATERIALS,87,,,,,,,
8,IPS34,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - DURABLE GOODS MATERIALS,88,,,,,,,
9,IPS38,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - NONDURABLE GOODS MATERIALS,89,,,,,,,
10,IPS43,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - MANUFACTURING (SIC),90,,,,,,,
11,IPS67e,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - MINING NAICS=21,91,,,,,,,
12,IPS68e,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - ELECTRIC AND GAS UTILITIES,92,,,,,,,
13,IPS10,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - TOTAL INDEX,78,,,,,,,
14,PMI,1976:2 - 2005:6,5,PURCHASING MANAGERS' INDEX (SA),60,,,,,,,
15,PMP,1976:2 - 2005:6,5,NAPM PRODUCTION INDEX (PERCENT),63,,,,,,,
16,PYQ,1976:2 - 2005:6,5,"PERSONAL INCOME (CHAINED) (BIL2000$,SAAR)",35,,,,,,,
17,MYXPQ,1976:2 - 2005:6,5,"PERSONAL INCOME LESS TRANSFER PAYMENTS (CHAINED)  (BIL 2000$,SAAR)",36,,,,,,,
18,IPS307,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - RESIDENTIAL UTILITIES,85,,,,,,,
19,IPS316,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - BASIC METALS,86,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,EMP ------------- employment and hours,,,,,,,,,,,
20,LHEL,1976:2 - 2005:6,5,INDEX OF HELP-WANTED ADVERTISING IN NEWSPAPERS (1967=100;SA),45,,,,,,,
21,LHELX,1976:2 - 2005:6,4,EMPLOYMENT: RATIO; HELP-WANTED ADS:NO. UNEMPLOYED CLF,46,,,,,,,
22,LHEM,1976:2 - 2005:6,5,"CIVILIAN LABOR FORCE: EMPLOYED, TOTAL (THOUS.,SA)",47,,,,,,,
23,LHNAG,1976:2 - 2005:6,5,"CIVILIAN LABOR FORCE: EMPLOYED, NONAGRIC.INDUSTRIES (THOUS.,SA)",48,,,,,,,
24,LHUR,1976:2 - 2005:6,1,"UNEMPLOYMENT RATE: ALL WORKERS, 16 YEARS & OVER (%,SA)",54,,,,,,,
25,LHU680,1976:2 - 2005:6,1,UNEMPLOY.BY DURATION: AVERAGE(MEAN)DURATION IN WEEKS (SA),53,,,,,,,
26,LHU5,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.LESS THAN 5 WKS (THOUS.,SA)",52,,,,,,,
27,LHU14,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.5 TO 14 WKS (THOUS.,SA)",49,,,,,,,
28,LHU15,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 WKS + (THOUS.,SA)",50,,,,,,,
29,LHU26,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 TO 26 WKS (THOUS.,SA)",51,,,,,,,
30,BLS_LPNAG,1976:2 - 2005:6,5,Total Nonfarm Employment - Seasonally Adjusted - CES0000000001 ,106,,,,,,,
31,BLS_LP,1976:2 - 2005:6,5, Total Private Employment - Seasonally Adjusted - CES0500000001 ,96,,,,,,,
32,BLS_LPGD,1976:2 - 2005:6,5, Goods-producing Employment - Seasonally Adjusted - CES0600000001 ,101,,,,,,,
33,BLS_LPMI,1976:2 - 2005:6,5, Natural Resources and Mining Employment - Seasonally Adjusted - CES1000000001 ,104,,,,,,,
34,BLS_LPCC,1976:2 - 2005:6,5, Construction Employment - Seasonally Adjusted - CES2000000001 ,97,,,,,,,
35,BLS_LPEM,1976:2 - 2005:6,5, Manufacturing Employment - Seasonally Adjusted - CES3000000001 ,99,,,,,,,
36,BLS_LPED,1976:2 - 2005:6,5, Durable Goods Manufacturing Employment - Seasonally Adjusted - CES3100000001 ,98,,,,,,,
37,BLS_LPEN,1976:2 - 2005:6,5, Nondurable Goods Manufacturing Employment - Seasonally Adjusted - CES3200000001 ,100,,,,,,,
38,BLS_Service-EMP,1976:2 - 2005:6,5, Service-providing Employment - Seasonally Adjusted - CES0700000001 ,109,,,,,,,
39,BLS_Trade EMP,1976:2 - 2005:6,5," Trade, Transportation, and Utilities Employment - Seasonally Adjusted - CES4000000001 ",110,,,,,,,
40,BLS_Retail- EMP,1976:2 - 2005:6,5, Retail Trade Employment - Seasonally Adjusted - CES4200000001 ,108,,,,,,,
41,BLS_Wholesale- EMP,1976:2 - 2005:6,5, Wholesale Trade Employment - Seasonally Adjusted - CES4142000001 ,111,,,,,,,
42,BLS_Financial-EMP,1976:2 - 2005:6,5, Financial Activities Employment - Seasonally Adjusted - CES5500000001 ,93,,,,,,,
43,BLS_P-service EMP,1976:2 - 2005:6,5, Private Service-providing Employment - Seasonally Adjusted - CES0800000001 ,107,,,,,,,
44,BLS_LPGOV,1976:2 - 2005:6,5, Government Employment - Seasonally Adjusted - CES9000000001 ,102,,,,,,,
45,BLS_LPHRM,1976:2 - 2005:6,1, Manufacturing Average Weekly Hours of Production Workers - Seasonally Adjusted - CES3000000005 ,103,,,,,,,
46,BLS_LPMOSA,1976:2 - 2005:6,1, Manufacturing Average Weekly Overtime of Production Workers - Seasonally Adjusted - CES3000000007 ,105,,,,,,,
47,PMEMP,1976:2 - 2005:6,,NAPM EMPLOYMENT INDEX (PERCENT),59,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,HSS -------------- housing starts and sales,,,,,,,,,,,
48,HSFR,1976:2 - 2005:6,4,"HOUSING STARTS:NONFARM(1947-58);TOTAL FARM&NONFARM(1959-)(THOUS.,SA",40,,,,,,,
49,HSNE,1976:2 - 2005:6,4,HOUSING STARTS:NORTHEAST (THOUS.U.)S.A.,42,,,,,,,
50,HSMW,1976:2 - 2005:6,4,HOUSING STARTS:MIDWEST(THOUS.U.)S.A.,41,,,,,,,
51,HSSOU,1976:2 - 2005:6,4,HOUSING STARTS:SOUTH (THOUS.U.)S.A.,43,,,,,,,
52,HSWST,1976:2 - 2005:6,4,HOUSING STARTS:WEST (THOUS.U.)S.A.,44,,,,,,,
53,HSBR,1976:2 - 2005:6,4,"HOUSING AUTHORIZED: TOTAL NEW PRIV HOUSING UNITS (THOUS.,SAAR)",39,,,,,,,
54,HMOB,1976:2 - 2005:6,4,"MOBILE HOMES: MANUFACTURERS' SHIPMENTS (THOUS.OF UNITS,SAAR)",38,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,INV ---------------- real inventories and inventory-sales ratios,,,,,,,,,,,
55,PMNV,1976:2 - 2005:6,1,NAPM INVENTORIES INDEX (PERCENT),62,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,ORD--------------- orders and unfilled orders,,,,,,,,,,,
56,PMNO,1976:2 - 2005:6,1,NAPM NEW ORDERS INDEX (PERCENT),61,,,,,,,
57,PMDEL,1976:2 - 2005:6,1,NAPM VENDOR DELIVERIES INDEX (PERCENT),58,,,,,,,
58,MOCMQ,1976:2 - 2005:6,5,"NEW ORDERS (NET) - CONSUMER GOODS & MATERIALS, 1996 DOLLARS (BCI)",55,,,,,,,
59,MSONDQ,1976:2 - 2005:6,5,"NEW ORDERS, NONDEFENSE CAPITAL GOODS, IN 1996 DOLLARS (BCI)",56,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,SPR --------------- stock prices,,,,,,,,,,,
60,FSPCOM,1976:2 - 2005:6,5,S&P'S COMMON STOCK PRICE INDEX: COMPOSITE (1941-43=10),17,,,,,,,
61,FSPIN,1976:2 - 2005:6,5,S&P'S COMMON STOCK PRICE INDEX: INDUSTRIALS (1941-43=10),18,,,,,,,
62,FSDXP,1976:2 - 2005:6,1,S&P'S COMPOSITE COMMON STOCK: DIVIDEND YIELD (% PER ANNUM),15,,,,,,,
63,FSPXE,1976:2 - 2005:6,1,"S&P'S COMPOSITE COMMON STOCK: PRICE-EARNINGS RATIO (%,NSA)",19,,,,,,,
64,FSDJ,1976:2 - 2005:6,,COMMON STOCK PRICES: DOW JONES INDUSTRIAL AVERAGE,16,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,EXR ---------------- exchange rates,,,,,,,,,,,
65,EXRSW,1976:2 - 2005:6,5,FOREIGN EXCHANGE RATE: SWITZERLAND (SWISS FRANC PER U.S.$),4,,,,,,,
66,EXRJAN,1976:2 - 2005:6,5,FOREIGN EXCHANGE RATE: JAPAN (YEN PER U.S.$),3,,,,,,,
67,EXRUK,1976:2 - 2005:6,5,FOREIGN EXCHANGE RATE: UNITED KINGDOM (CENTS PER POUND),5,,,,,,,
68,EXRCAN,1976:2 - 2005:6,5,FOREIGN EXCHANGE RATE: CANADA (CANADIAN $ PER U.S.$),2,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,INT ---------------- interest rates,,,,,,,,,,,
69,FYFF,1976:2 - 2005:6,1,"INTEREST RATE: FEDERAL FUNDS (EFFECTIVE) (% PER ANNUM,NSA)",22,,,,,,,
70,FYGM3,1976:2 - 2005:6,1,"INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,3-MO.(% PER ANN,NSA)",23,,,,,,,
71,FYGM6,1976:2 - 2005:6,1,"INTEREST RATE: U.S.TREASURY BILLS,SEC MKT,6-MO.(% PER ANN,NSA)",24,,,,,,,
72,FYGT1,1976:2 - 2005:6,1,"INTEREST RATE: U.S.TREASURY CONST MATURITIES,1-YR.(% PER ANN,NSA)",25,,,,,,,
73,FYGT5,1976:2 - 2005:6,1,"INTEREST RATE: U.S.TREASURY CONST MATURITIES,5-YR.(% PER ANN,NSA)",27,,,,,,,
74,FYGT10,1976:2 - 2005:6,1,"INTEREST RATE: U.S.TREASURY CONST MATURITIES,10-YR.(% PER ANN,NSA)",26,,,,,,,
75,FYAAAC,1976:2 - 2005:6,1,BOND YIELD: MOODY'S AAA CORPORATE (% PER ANNUM),20,,,,,,,
76,FYBAAC,1976:2 - 2005:6,1,BOND YIELD: MOODY'S BAA CORPORATE (% PER ANNUM),21,,,,,,,
77,SFYGM3,1976:2 - 2005:6,1,Spread FYGM3 - FYFF,28,,,,,,,
78,SFYGM6,1976:2 - 2005:6,1,Spread FYGM6 - FYFF,29,,,,,,,
79,SFYGT1,1976:2 - 2005:6,1,Spread FYGT1 - FYFF,30,,,,,,,
80,SFYGT5,1976:2 - 2005:6,1,Spread FYGT5 - FYFF,32,,,,,,,
81,SFYGT10,1976:2 - 2005:6,1,Spread FYGT10 - FYFF,31,,,,,,,
82,SFYAAAC,1976:2 - 2005:6,1,Spread FYAAAC - FYFF,33,,,,,,,
83,SFYBAAC,1976:2 - 2005:6,1,Spread FYBAAC - FYFF,34,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,MON ---------------- money and credit quantity aggregates,,,,,,,,,,,
84,FM1,1976:2 - 2005:6,5,"MONEY STOCK: M1(CURR,TRAV.CKS,DEM DEP,OTHER CK'ABLE DEP)(BIL$,SA)",8,,,,,,,
85,FM2,1976:2 - 2005:6,5,"MONEY STOCK:M2(M1+O'NITE RPS,EURO$,G/P&B/D MMMFS&SAV&SM TIME DEP(BIL$,",9,,,,,,,
86,FM3,1976:2 - 2005:6,5,"MONEY STOCK: M3(M2+LG TIME DEP,TERM RP'S&INST ONLY MMMFS)(BIL$,SA)",11,,,,,,,
87,FM2DQ,1976:2 - 2005:6,5,MONEY SUPPLY - M2 IN 1996 DOLLARS (BCI),10,,,,,,,
88,FMFBA,1976:2 - 2005:6,5,"MONETARY BASE, ADJ FOR RESERVE REQUIREMENT CHANGES(MIL$,SA)",12,,,,,,,
89,FMRRA,1976:2 - 2005:6,5,"DEPOSITORY INST RESERVES:TOTAL,ADJ FOR RESERVE REQ CHGS(MIL$,SA)",14,,,,,,,
90,FMRNBA,1976:2 - 2005:6,5,"DEPOSITORY INST RESERVES:NONBORROWED,ADJ RES REQ CHGS(MIL$,SA)",13,,,,,,,
91,FCLBMC,1976:2 - 2005:6,1,"WKLY RP LG COM'L BANKS:NET CHANGE COM'L & INDUS LOANS(BIL$,SAAR)",6,,,,,,,
92,CCINRV,1976:2 - 2005:6,5,CONSUMER CREDIT OUTSTANDING - NONREVOLVING(G19),1,,,,,,,
93,IMFCLNQ,1976:2 - 2005:6,5,COMMERCIAL & INDUSTRIAL LOANS OUSTANDING IN 1996 DOLLARS ,7,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,PRI --------------- price indexes,,,,,,,,,,,
94,PMCP,1976:2 - 2005:6,1,NAPM COMMODITY PRICES INDEX (PERCENT),57,,,,,,,
95,PWFSA,1976:2 - 2005:6,5,"PRODUCER PRICE INDEX: FINISHED GOODS (82=100,SA)",76,,,,,,,
96,PWFCSA,1976:2 - 2005:6,5,"PRODUCER PRICE INDEX:FINISHED CONSUMER GOODS (82=100,SA)",75,,,,,,,
97,PWIMSA,1976:2 - 2005:6,5,"PRODUCER PRICE INDEX:INTERMED MAT.SUPPLIES & COMPONENTS(82=100,SA)",77,,,,,,,
98,PWCMSA,1976:2 - 2005:6,5,"PRODUCER PRICE INDEX:CRUDE MATERIALS (82=100,SA)",74,,,,,,,
99,PUNEW,1976:2 - 2005:6,5,"CPI-U: ALL ITEMS (82-84=100,SA)",70,,,,,,,
100,PU83,1976:2 - 2005:6,5,"CPI-U: APPAREL & UPKEEP (82-84=100,SA)",65,,,,,,,
101,PU84,1976:2 - 2005:6,5,"CPI-U: TRANSPORTATION (82-84=100,SA)",66,,,,,,,
102,PU85,1976:2 - 2005:6,5,"CPI-U: MEDICAL CARE (82-84=100,SA)",67,,,,,,,
103,PUC,1976:2 - 2005:6,5,"CPI-U: COMMODITIES (82-84=100,SA)",68,,,,,,,
104,PUCD,1976:2 - 2005:6,5,"CPI-U: DURABLES (82-84=100,SA)",69,,,,,,,
105,PUXF,1976:2 - 2005:6,5,"CPI-U: ALL ITEMS LESS FOOD (82-84=100,SA)",71,,,,,,,
106,PUXHS,1976:2 - 2005:6,5,"CPI-U: ALL ITEMS LESS SHELTER (82-84=100,SA)",72,,,,,,,
107,PUXM,1976:2 - 2005:6,5,"CPI-U: ALL ITEMS LESS MIDICAL CARE (82-84=100,SA)",73,,,,,,,
108,PSCCOM,1976:2 - 2005:6,5,SPOT MARKET PRICE INDEX:BLS & CRB: ALL COMMODITIES(1967=100),64,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,AHE ------------- average hourly earnings,,,,,,,,,,,
109,BLS_LEHCC,1976:2 - 2005:6,5, Construction Average Hourly Earnings of Production Workers - Seasonally Adjusted - CES2000000006 ,94,,,,,,,
110,BLS_LEHM,1976:2 - 2005:6,5, Manufacturing Average Hourly Earnings of Production Workers - Seasonally Adjusted - CES3000000006 ,95,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,OTH ------------- miscellaneous,,,,,,,,,,,
111,HHSNTN,1976:2 - 2005:6,1,U. OF MICH. INDEX OF CONSUMER EXPECTATIONS(BCD-83),37,,,,,,,
,,,,,,,,,,,,
